participant_id,consent,plausible,attention_check,comp_check_1,comp_check_2,done_before,sex,age,valence,domain,prevalence,own_belief,discipline,condition,michael_would,michael_should,you_would,you_should,pass_old_imc,pass_check,agrees_with_michael
R_bQUk9iQRLSsErQN,consent,2,dax,45,2,no,female,37,accept,moral,common,3,genetic,normal,0,0,0,0,TRUE,FALSE,TRUE
R_bypoDL6GvglhLZH,consent,3,dax,45,1,no,female,24,accept,religious,rare,-2,developmental,abnormal,-2,-2,3,3,TRUE,TRUE,FALSE
R_5AaJVJjc7wiMmHj,consent,4,dax,45,1,no,female,39,accept,scientific,rare,3,psychological,normal,1,2,2,2,TRUE,TRUE,TRUE
R_egNEWdUu7vh4Uap,consent,5,dax,4,2,no,female,40,accept,religious,common,1,neuroscience,normal,-2,1,-2,0,TRUE,FALSE,TRUE
R_3eDvHtxjCxMW1xz,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_9tnTcWu00HDgQ7z,consent,1,dax,45,2,no,male,56,accept,moral,rare,0,developmental,abnormal,-2,-1,-0,2,TRUE,FALSE,FALSE
R_4VlOZ9BLI1F6lJX,consent,2,dax,45,1,no,female,57,accept,scientific,common,2,developmental,normal,0,0,2,2,TRUE,TRUE,TRUE
R_b4rn3cZiR0aXxjf,consent,2,dax,45,1,no,female,28,reject,religious,rare,0,psychological,abnormal,-0,-0,-0,-0,TRUE,TRUE,FALSE
R_88Pk9Npm8FAS6fb,consent,6,dax,45,2,no,male,28,accept,moral,common,3,neuroscience,normal,0,2,1,1,TRUE,FALSE,TRUE
R_6olSYrkFe9EOE7j,consent,3,dax,45,1,yes,male,27,reject,scientific,rare,2,genetic,abnormal,-2,-2,0,0,TRUE,TRUE,FALSE
R_0JqShdXO1U939dP,consent,3,dax,45,1,no,male,53,reject,scientific,rare,2,neuroscience,abnormal,-0,-0,2,2,TRUE,TRUE,FALSE
R_5tkk3CAAFVIiEu1,consent,2,dax,45,1,no,male,35,accept,scientific,rare,-2,genetic,normal,3,3,-0,-0,TRUE,TRUE,FALSE
R_etCQK2xC4iXX32l,consent,6,dax,4,1,no,male,27,accept,religious,common,0,psychological,normal,-2,1,-2,-0,TRUE,FALSE,FALSE
R_7W07DhSmy5Nvh89,consent,5,dax,45,1,no,female,62,accept,moral,rare,-2,developmental,abnormal,1,2,2,2,TRUE,TRUE,FALSE
R_6zD47pN2z8ehFit,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_3C8SpAml7tzlbEN,consent,2,dax,45,3,no,male,34,reject,scientific,common,1,neuroscience,abnormal,1,1,1,1,TRUE,FALSE,FALSE
R_8w7Q0Shcnmcr2y9,consent,7,dax,NA,NA,NA,NA,NA,reject,moral,common,1,neuroscience,abnormal,-3,-3,2,1,TRUE,NA,FALSE
R_dcKrig9JtnDLF2Z,consent,4,NA,NA,NA,NA,NA,NA,reject,scientific,common,1,psychological,abnormal,2,1,0,0,FALSE,FALSE,FALSE
R_0iY8UtOO3EW8rnn,consent,7,dax,45,1,no,male,49,reject,moral,common,3,developmental,normal,-1,2,-2,-3,TRUE,TRUE,FALSE
R_9XCP6B1tz1tNw1f,consent,5,dax,45,1,no,female,22,accept,scientific,common,3,neuroscience,normal,0,2,0,0,TRUE,TRUE,TRUE
R_0CDfuxp6g81y7gV,consent,1,dax,45,1,maybe,female,40,reject,religious,rare,0,genetic,normal,2,1,-0,-0,TRUE,TRUE,FALSE
R_6DX73M6eC7pdBVb,consent,2,dax,45,1,no,male,29,accept,religious,rare,2,genetic,abnormal,-1,-1,-2,-2,TRUE,TRUE,TRUE
R_ahGOuJTBKoxRO05,consent,5,dax,45,1,no,male,57,reject,religious,common,3,psychological,abnormal,-2,-0,0,0,TRUE,TRUE,FALSE
R_ah0BQM9cQbbaOCV,consent,5,dax,2,1,no,male,24,reject,moral,rare,1,psychological,normal,-1,-1,0,0,TRUE,FALSE,FALSE
R_4OQvzFeI8mSUb4N,consent,1,dax,45,3,no,female,61,accept,scientific,rare,2,developmental,normal,0,0,0,0,TRUE,FALSE,TRUE
R_5A9CrhVfpgBeUjr,consent,4,NA,45,2,no,male,39,accept,moral,common,3,genetic,normal,-1,1,1,2,FALSE,FALSE,TRUE
R_089ggZMSsI9ZH5H,consent,5,dax,45,1,no,male,26,accept,scientific,common,3,neuroscience,normal,2,2,2,2,TRUE,TRUE,TRUE
R_24sxzcCHE1SUwQt,consent,5,NA,45,3,no,female,27,reject,moral,rare,-3,psychological,abnormal,-0,-1,-1,1,FALSE,FALSE,TRUE
R_8IlQRWHxB5sBdu5,consent,5,dax,2,3,no,male,27,accept,religious,rare,-1,neuroscience,abnormal,NA,0,1,-1,TRUE,FALSE,FALSE
R_0ixes4PmysVH189,consent,1,dax,45,2,no,male,37,reject,religious,common,0,genetic,abnormal,-0,-0,-0,-0,TRUE,FALSE,FALSE
R_7UOQLMqELMByqfH,consent,5,dax,123,2,no,male,31,accept,religious,common,0,psychological,normal,2,-1,-0,-0,TRUE,FALSE,FALSE
R_b2sH2tTbUk704E5,consent,6,NA,45,2,yes,female,40,reject,religious,rare,1,psychological,abnormal,-1,-1,2,1,FALSE,FALSE,FALSE
R_1A1ZhSq94vIodmd,consent,6,NA,45,1,no,other,25,reject,scientific,common,2,psychological,normal,2,-0,2,0,FALSE,FALSE,FALSE
R_cZuXPKQnxTu6QbH,consent,7,dax,4,3,no,male,25,reject,moral,common,3,developmental,normal,-3,-1,1,1,TRUE,FALSE,FALSE
R_38D4EZ3Uc03HBUV,consent,5,dax,45,1,no,female,21,accept,moral,rare,-1,neuroscience,normal,0,0,-0,-0,TRUE,TRUE,FALSE
R_eM2EBDMC5lHjHbD,consent,5,NA,5,1,no,female,23,reject,moral,common,3,neuroscience,abnormal,-1,-1,1,1,FALSE,FALSE,FALSE
R_78NQNlPBt50zynj,consent,5,dax,45,1,no,male,21,reject,scientific,rare,2,genetic,normal,2,-2,2,2,TRUE,TRUE,FALSE
R_4ZLxpd7XiqNfwi1,consent,1,dax,4,2,no,female,23,accept,scientific,common,3,genetic,abnormal,1,-2,2,1,TRUE,FALSE,TRUE
R_diOJWa6LJB2ZLlb,consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_06zMiFBJvAP44q9,consent,5,dax,45,1,no,female,23,accept,religious,rare,-2,developmental,abnormal,-2,3,-3,-1,TRUE,TRUE,FALSE
R_7Ve7kgBsBesz3Nz,consent,5,dax,4,1,no,female,18,accept,moral,common,3,genetic,normal,0,0,0,0,TRUE,FALSE,TRUE
R_2nUKfAdxmldoZo1,consent,1,NA,NA,NA,NA,NA,NA,reject,scientific,rare,3,developmental,abnormal,-0,-0,0,0,FALSE,FALSE,FALSE
R_9soAdn5n9odAput,consent,3,dax,4,1,no,male,43,reject,religious,common,-3,psychological,abnormal,-0,-0,1,1,TRUE,FALSE,TRUE
R_5dlUTP85KOeQQ1D,consent,1,Dax,45,1,no,female,44,reject,religious,rare,-3,genetic,abnormal,-1,-1,-1,-0,TRUE,TRUE,TRUE
R_50bZNx86K0gJZOd,consent,5,dax,45,2,no,male,34,accept,moral,rare,-3,developmental,abnormal,-1,-2,-0,2,TRUE,FALSE,FALSE
R_cZpQrgKuUZCfiYt,consent,2,dax,45,2,no,male,28,reject,scientific,common,3,developmental,normal,-2,-1,-1,-1,TRUE,FALSE,FALSE
R_6Sujuqgp7K2dEXj,consent,3,dax,45,1,no,female,27,accept,religious,common,0,psychological,normal,2,0,-0,-1,TRUE,TRUE,FALSE
R_cYE9zXUv7wvf1uR,consent,2,dax,45,1,no,male,19,reject,moral,rare,-1,neuroscience,abnormal,1,-1,-2,1,TRUE,TRUE,TRUE
R_6nHYxYRCVOfze0B,consent,2,dax,45,1,no,female,54,accept,scientific,rare,1,neuroscience,normal,2,1,0,0,TRUE,TRUE,TRUE
R_1QRSwkKOQv6UuoJ,consent,2,dax,45,1,no,female,41,accept,religious,rare,-2,psychological,normal,2,0,-0,-0,TRUE,TRUE,FALSE
R_00SP40YBHqyaRiR,consent,5,dax,45,1,no,male,36,accept,religious,common,3,developmental,abnormal,-1,3,2,2,TRUE,TRUE,TRUE
R_ddlpM1Thwmi5GAt,consent,2,dax,45,1,no,male,45,reject,religious,common,2,neuroscience,abnormal,-2,2,2,2,TRUE,TRUE,FALSE
R_38CXgwDgmDQiFSJ,consent,2,dax,45,1,no,female,60,reject,scientific,rare,1,psychological,abnormal,2,2,-3,-2,TRUE,TRUE,FALSE
R_aWT6rFzqeljksdL,consent,7,dax,4,1,no,female,38,accept,scientific,rare,-2,developmental,normal,3,0,-0,-0,TRUE,FALSE,FALSE
R_bNlmYSIzya7fJIx,consent,2,dax,45,2,no,other,25,accept,moral,common,3,genetic,abnormal,0,2,0,0,TRUE,FALSE,TRUE
R_2mpi52rC6tomlBX,consent,3,dax,4,1,no,male,24,reject,scientific,common,-2,genetic,normal,-0,-0,-0,-0,TRUE,FALSE,TRUE
R_aaai3DUs7BiTnGB,consent,5,dax,45,1,no,female,35,reject,moral,common,3,developmental,normal,-0,-0,1,1,TRUE,TRUE,FALSE
R_ex1OduTBhtIdOwR,consent,2,dax,45,1,no,female,22,accept,moral,rare,1,neuroscience,abnormal,-2,0,-1,-1,TRUE,TRUE,TRUE
R_cGaqIJsFyP2RkMJ,consent,3,NA,45,1,no,female,29,reject,moral,rare,-2,psychological,normal,-0,-0,-0,-0,FALSE,FALSE,TRUE
R_b1uvbMlwEDeYgfP,consent,4,dax,45,1,maybe,male,48,accept,scientific,common,2,genetic,normal,2,2,2,2,TRUE,TRUE,TRUE
R_dcXqEWUlE8EZBLD,consent,NA,NA,NA,NA,NA,NA,NA,reject,religious,rare,-3,neuroscience,normal,NA,NA,NA,NA,FALSE,FALSE,TRUE
R_026GxpiRVQmKAD3,consent,4,dax,45,1,no,male,43,accept,moral,common,2,neuroscience,normal,0,0,0,0,TRUE,TRUE,TRUE
R_eWeDCvDFs66qiaN,consent,3,dax,45,3,no,male,50,accept,scientific,rare,3,genetic,abnormal,2,-1,2,2,TRUE,FALSE,TRUE
R_2oBsmbHWdun5FEp,consent,2,dax,45,1,maybe,female,22,accept,moral,rare,0,developmental,abnormal,-2,0,-0,-0,TRUE,TRUE,FALSE
R_2rSbXwLe0feaGod,consent,6,dax,45,1,no,male,21,accept,religious,common,-3,psychological,abnormal,0,2,-0,-0,TRUE,TRUE,FALSE
R_bd2666xIoA9W5AF,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_2s1veriTb9YjfUx,consent,3,dax,4,1,no,male,62,reject,scientific,rare,2,neuroscience,normal,1,-0,0,0,TRUE,FALSE,FALSE
R_06dIOagF8zx9oJ7,consent,5,dax,4,1,no,female,33,reject,moral,common,3,neuroscience,abnormal,-2,-2,1,1,TRUE,FALSE,FALSE
R_3pz1qd8uwepZqZv,consent,4,dax,45,1,no,female,57,accept,scientific,common,3,developmental,normal,0,0,0,0,TRUE,TRUE,TRUE
R_06QNqkoVd2MdyHH,consent,5,dax,4,1,no,male,26,accept,religious,rare,-1,developmental,abnormal,-1,-2,1,1,TRUE,FALSE,FALSE
R_9Na70gcqc8MKcyV,consent,5,dax,5,1,no,female,51,reject,scientific,common,2,psychological,abnormal,-2,-1,2,1,TRUE,FALSE,FALSE
R_3qvCWVUd3NbhrHn,consent,1,dax,45,1,no,female,19,reject,religious,rare,-3,genetic,abnormal,-1,3,3,3,TRUE,TRUE,TRUE
R_4Ykyc7XhkQaXwVv,consent,2,NA,14,1,no,female,20,reject,religious,common,-3,psychological,normal,-1,-0,2,-1,FALSE,FALSE,TRUE
R_3yKt1Zp8pBqr4rP,consent,5,dax,45,1,no,female,29,accept,scientific,common,2,psychological,abnormal,1,1,-1,-1,TRUE,TRUE,TRUE
R_2aEv1zRAP7nGOLb,consent,6,dax,45,1,no,male,32,accept,religious,common,-2,neuroscience,normal,2,2,-2,-2,TRUE,TRUE,FALSE
R_2avk31gl9pJAmY5,consent,3,dax,4,1,maybe,male,28,reject,religious,common,-2,psychological,normal,2,-0,2,1,TRUE,FALSE,TRUE
R_7TVYBCvjvazhci1,consent,1,dax,45,1,maybe,male,32,reject,moral,rare,-3,neuroscience,abnormal,-0,-0,-0,-0,TRUE,TRUE,TRUE
R_3mJd2Nm1bv9UrYh,consent,1,dax,45,1,no,male,19,reject,scientific,common,2,genetic,abnormal,-3,-1,3,3,TRUE,TRUE,FALSE
R_57lpDtnL44bVZ5z,consent,3,dax,45,1,no,female,48,accept,moral,rare,-3,genetic,normal,0,1,-0,-0,TRUE,TRUE,FALSE
R_1BlKLAYnOF8E741,consent,6,dax,45,3,no,male,19,reject,moral,common,2,developmental,normal,-2,-2,2,2,TRUE,FALSE,FALSE
R_2ajbkBaqreAiqJT,consent,5,dax,4,2,no,male,21,accept,religious,rare,0,psychological,abnormal,-1,1,-1,-1,TRUE,FALSE,FALSE
R_ey8kXrV7M9x4iaN,consent,1,dax,45,1,no,female,26,accept,scientific,rare,3,developmental,abnormal,1,1,3,3,TRUE,TRUE,TRUE
R_8wVNayDqwfpSpwh,consent,5,dax,45,1,maybe,male,37,reject,scientific,rare,3,genetic,normal,-0,2,0,0,TRUE,TRUE,FALSE
R_77gzWsmoGxmtSap,consent,6,dax,45,2,no,male,30,reject,religious,rare,-2,neuroscience,normal,-1,1,1,-1,TRUE,FALSE,TRUE
R_4O6AjCbOWn53jBr,consent,2,dax,15,1,no,female,48,reject,scientific,common,2,neuroscience,abnormal,-1,-1,-2,-2,TRUE,FALSE,FALSE
R_cMiSOCdoAcuKSuF,consent,5,dax,4,1,no,female,34,accept,moral,common,-2,psychological,normal,2,1,1,1,TRUE,FALSE,FALSE
R_bO9eq0yxvTs3aFn,consent,4,dax,45,2,no,male,28,accept,moral,rare,-2,developmental,normal,-1,0,2,2,TRUE,FALSE,FALSE
R_0ocjQjD2Fr4PUnX,consent,2,dax,4,1,no,male,21,reject,moral,common,3,genetic,normal,2,2,0,0,TRUE,FALSE,FALSE
R_6lBTxmdEbDsrapT,consent,6,dax,45,1,no,male,55,accept,religious,rare,-3,developmental,abnormal,-2,-2,2,2,TRUE,TRUE,FALSE
R_5p3DCoTMl6eQey1,consent,2,dax,45,1,no,female,23,accept,scientific,common,3,genetic,abnormal,0,-1,0,0,TRUE,TRUE,TRUE
R_0NZn0ALOR7ZX3IF,consent,7,NA,3,4,yes,female,32,reject,religious,common,3,psychological,normal,-3,-2,3,2,FALSE,FALSE,FALSE
R_6Yh64Wrt2p8K6hf,consent,5,dax,45,1,no,male,23,reject,moral,rare,-2,neuroscience,normal,-0,-0,-0,-0,TRUE,TRUE,TRUE
R_cZ8gtzIt9TbwoWV,consent,4,dax,45,1,no,male,32,accept,moral,common,3,developmental,normal,2,2,0,0,TRUE,TRUE,TRUE
R_ebNs4JSIwWrVHEN,consent,5,dax,4,4,maybe,male,24,reject,religious,rare,-3,genetic,abnormal,-0,-0,-1,1,TRUE,FALSE,TRUE
R_8HBimFPBCMXKAqp,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_cUPKBFc96ciMbc1,consent,5,dax,45,1,no,male,21,reject,religious,common,-3,genetic,abnormal,1,-0,-0,-0,TRUE,TRUE,TRUE
R_eQE9FLrMsmVxkFL,consent,5,dax,4,1,no,male,20,accept,moral,rare,-3,developmental,normal,-1,-3,3,3,TRUE,FALSE,FALSE
R_cuA1l4dgGXFIwL3,consent,6,dax,45,1,no,female,33,accept,religious,common,-1,neuroscience,abnormal,-2,-2,3,1,TRUE,TRUE,FALSE
R_7aEakXFvvahyAjb,consent,4,dax,45,1,no,male,19,reject,scientific,rare,3,psychological,abnormal,2,2,0,0,TRUE,TRUE,FALSE
R_5C3OBHZaWgdCCHj,consent,5,dax,45,4,no,male,26,reject,moral,common,3,psychological,abnormal,-2,-0,2,-1,TRUE,FALSE,FALSE
R_9MOepPqSRsh2eC9,consent,1,dax,4,1,no,female,21,reject,scientific,common,2,developmental,abnormal,-2,-3,3,3,TRUE,FALSE,FALSE
R_cSEV01Z2uGNxcfr,consent,3,dax,45,1,no,female,43,accept,scientific,rare,2,neuroscience,abnormal,-1,-1,0,0,TRUE,TRUE,TRUE
R_3XiS6IfWb8EzkrP,consent,2,dax,45,1,no,male,21,reject,religious,rare,-2,genetic,normal,-0,2,2,3,TRUE,TRUE,TRUE
R_bsy2UEDaUAGPLF3,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_8lhXQAFkTqDonjf,consent,4,dax,45,1,no,male,31,reject,moral,rare,0,neuroscience,normal,2,-0,-0,-0,TRUE,TRUE,FALSE
R_4O8pjqyHnDadQfH,consent,5,dax,45,2,no,male,32,accept,religious,rare,-3,psychological,normal,3,-3,3,-0,TRUE,FALSE,FALSE
R_3EItuvV3jRkZLTL,consent,5,dax,45,1,no,male,20,reject,scientific,rare,3,neuroscience,normal,-2,-1,0,0,TRUE,TRUE,FALSE
R_7VP575sStDdqv1r,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_4YqyZGJ3OudzrZb,consent,3,dax,45,1,no,female,25,accept,moral,common,2,psychological,normal,2,0,0,0,TRUE,TRUE,TRUE
R_6zdT1ijQexinDV3,consent,2,dax,45,1,yes,female,30,accept,religious,common,0,neuroscience,abnormal,1,1,1,1,TRUE,TRUE,FALSE
R_9miybBD7mERp0nr,consent,3,dax,45,2,no,female,25,accept,scientific,common,3,genetic,abnormal,-1,0,-1,0,TRUE,FALSE,TRUE
R_3xuJGh3Pd2rIkp7,consent,3,dax,45,2,maybe,male,33,reject,religious,rare,-1,genetic,normal,-0,-1,-0,-1,TRUE,FALSE,TRUE
R_74A79hl7VsPBhaZ,consent,NA,NA,NA,NA,NA,NA,NA,reject,moral,rare,3,genetic,normal,3,3,NA,NA,FALSE,FALSE,FALSE
R_6YekVqPuxGsJ1MV,consent,5,dax,45,3,no,male,37,reject,religious,common,3,developmental,normal,-0,1,0,0,TRUE,FALSE,FALSE
R_42xNNtV1GNmamkl,consent,2,dax,5,1,no,male,32,reject,moral,common,3,developmental,abnormal,-0,-0,0,0,TRUE,FALSE,FALSE
R_esXtN1yKiCR3Vyt,consent,2,dax,45,1,maybe,female,48,reject,moral,rare,-3,psychological,abnormal,-0,-0,-3,-0,TRUE,TRUE,TRUE
R_86u1M7T7xzuvY45,consent,1,dax,45,1,no,female,34,accept,scientific,common,3,neuroscience,abnormal,-2,0,-1,-2,TRUE,TRUE,TRUE
R_6zivpQ78YEC7tn7,consent,2,dax,45,1,maybe,male,26,accept,moral,common,-1,neuroscience,normal,0,0,-0,-0,TRUE,TRUE,FALSE
R_6fcPP34HQeU5LTf,consent,1,dax,45,1,no,male,33,accept,religious,rare,-2,genetic,abnormal,2,-2,-1,1,TRUE,TRUE,FALSE
R_diISc0UyZfjpuJf,consent,2,dax,45,1,no,male,23,accept,moral,rare,-3,psychological,normal,2,0,-1,-0,TRUE,TRUE,FALSE
R_0kuy0GWMKYGbUcB,consent,4,dax,5,NA,NA,NA,NA,accept,scientific,rare,-1,developmental,abnormal,0,0,1,1,TRUE,FALSE,FALSE
R_01Cn06PTujrDJPf,consent,5,dax,45,1,no,female,37,accept,religious,common,-3,genetic,normal,0,0,-0,-0,TRUE,TRUE,FALSE
R_ePDadeU0qyJvpE9,consent,1,dax,45,1,no,female,31,reject,scientific,rare,3,developmental,abnormal,-1,-0,0,0,TRUE,TRUE,FALSE
R_2miTnuj9ztWlRjL,consent,4,dax,3,1,no,female,23,accept,religious,common,-1,genetic,normal,0,0,-0,-0,TRUE,FALSE,FALSE
R_24ra2ajeIALLb0h,consent,5,dax,45,1,no,male,36,accept,scientific,rare,3,developmental,normal,0,1,0,0,TRUE,TRUE,TRUE
R_6tC4GFmEbw7hFAN,consent,3,dax,45,1,no,female,27,reject,scientific,common,3,psychological,abnormal,-2,-0,0,0,TRUE,TRUE,FALSE
R_86oOv9xPHeA6T7n,no_consent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA
R_9GCJK84XYmAYlw1,consent,2,dax,45,1,no,female,20,reject,moral,rare,-1,developmental,abnormal,-0,1,-0,-0,TRUE,TRUE,TRUE
R_55BTIbYSzIN6Shv,consent,7,NA,45,1,no,male,21,accept,religious,rare,-1,psychological,abnormal,0,-2,-0,-0,FALSE,FALSE,FALSE
R_emNh1HfRjALBGx7,consent,1,dax,45,3,no,male,24,reject,scientific,common,3,psychological,normal,1,-3,3,3,TRUE,FALSE,FALSE
R_byIp02jmdBdLRe5,consent,5,dax,45,1,no,female,57,accept,moral,common,3,developmental,normal,3,0,0,0,TRUE,TRUE,TRUE
R_6hv2Ednf9cwPe1n,consent,1,dax,45,1,no,male,22,accept,scientific,rare,0,neuroscience,normal,-1,0,-0,-0,TRUE,TRUE,FALSE
R_eKIRs3KYsrTyHHv,consent,5,dax,45,1,no,female,23,reject,religious,common,-3,genetic,abnormal,-0,-1,-0,-0,TRUE,TRUE,TRUE
R_8knso3p1cbSiiJn,consent,3,dax,4,1,no,male,34,reject,religious,rare,-1,neuroscience,abnormal,-2,-2,-1,-1,TRUE,FALSE,TRUE
R_cZ0PsJQDx6VKqDX,consent,2,dax,4,3,no,female,41,accept,moral,rare,2,genetic,abnormal,0,1,0,0,TRUE,FALSE,TRUE
R_0xpoSQOkvJhokuN,consent,6,dax,45,1,no,female,20,accept,scientific,common,2,neuroscience,normal,2,2,2,2,TRUE,TRUE,TRUE
R_ehNpvfTLfrMeylD,consent,3,dax,5,1,no,male,29,reject,moral,common,3,psychological,normal,1,-2,1,0,TRUE,FALSE,FALSE
R_0e0uYDcoXw6fjKt,consent,2,NA,45,1,no,male,24,reject,scientific,rare,1,neuroscience,abnormal,-0,-0,0,0,FALSE,FALSE,FALSE
R_5BE0gVA1T6H0ibj,consent,2,dax,45,1,maybe,male,22,accept,scientific,common,3,developmental,normal,2,2,0,0,TRUE,TRUE,TRUE
R_6JYCrIxeiJt5Yfr,consent,3,dax,45,1,no,male,27,reject,scientific,rare,2,developmental,abnormal,-1,-0,1,0,TRUE,TRUE,FALSE
R_6eR9KzL0mJRR0Ql,consent,6,dax,45,1,no,female,54,reject,moral,common,3,psychological,abnormal,-1,-2,0,0,TRUE,TRUE,FALSE
R_ehZ8bAYsA6q3Qzz,consent,4,dax,45,1,no,male,27,accept,moral,common,3,psychological,abnormal,2,2,2,2,TRUE,TRUE,TRUE
R_0weQ3sltZTMkCGN,consent,1,dax,45,1,no,female,30,reject,moral,rare,-2,developmental,abnormal,-0,-0,-0,-0,TRUE,TRUE,TRUE
R_1zehEaDLIh3v0Ud,consent,3,dax,45,1,no,female,24,reject,scientific,common,3,genetic,normal,-1,-0,2,2,TRUE,TRUE,FALSE
R_dar0pn9sU53FMSp,consent,1,dax,4,1,yes,female,25,accept,religious,rare,-3,genetic,abnormal,3,0,-0,-0,TRUE,FALSE,FALSE
R_01DPJo1l8s1HU2x,consent,2,dax,45,1,no,male,36,reject,religious,rare,-2,neuroscience,abnormal,-2,-1,-1,-0,TRUE,TRUE,TRUE
R_7PAE11zr1mjqsGV,consent,6,dax,4,1,no,male,25,accept,religious,common,2,neuroscience,normal,0,0,2,2,TRUE,FALSE,TRUE
R_4Id7CyZ8ady2Smp,consent,5,dax,45,1,no,female,26,accept,scientific,rare,3,developmental,normal,1,1,2,2,TRUE,TRUE,TRUE
R_9YUk0KKhDLsEvZj,consent,2,dax,45,1,no,female,42,reject,religious,common,3,psychological,normal,-2,-2,0,1,TRUE,TRUE,FALSE
R_8i6gryvovj9ExsV,consent,7,dax,45,1,no,male,25,accept,moral,rare,-2,psychological,abnormal,-2,-1,-0,-0,TRUE,TRUE,FALSE
R_51HFjWo0urrGDFH,consent,3,dax,45,2,no,male,31,reject,religious,rare,-1,genetic,normal,-2,2,-2,-0,TRUE,FALSE,TRUE
R_3xVrOPGSfQSKSln,consent,4,dax,45,2,no,male,24,reject,scientific,common,-1,neuroscience,normal,-0,-0,-0,-0,TRUE,FALSE,TRUE
