StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q14,Q20,Q22,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,True,Do,Domain,FalseNeutralTrue,Textbook,Fact
2014-01-21 00:59:31,2014-01-21 01:09:52,0,,621,1,2014-01-21 01:09:53,R_6Mf8V4d3zairs1L,,2,6,6,6,6,5,3,4,5,5,5,3,4,2,4,5,4,70,60,60,90,80,10,50,50,90,90,20,0,9,dax,1,29,no,morals,3,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,5,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 01:04:20,2014-01-21 01:13:02,0,,522,1,2014-01-21 01:13:03,R_eEEzT7gDGPjTEmp,,2,7,6,5,4,6,5,5,5,6,6,5,4,6,4,3,5,20,15,25,75,45,25,65,20,55,35,30,35,9,dax,2,23,no,no idea,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,6,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 01:44:42,2014-01-21 01:50:00,0,,318,1,2014-01-21 01:50:00,R_23kmGiJU7lQFeo5,,2,7,7,7,7,1,5,1,1,7,7,5,1,7,4,7,4,100,100,60,95,40,60,40,40,99,99,10,10,4,,2,32,NO,"TO FIND OUT IF PEOPLE BELIEVE IN GOD, AND TO CORROBORATE IT WITH BRAIN RESEARCH",3,2,2,1,There is a God.,9,there is a God,1,true,do,religion,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 13:16:09,2014-01-21 13:18:40,0,,151,1,2014-01-21 13:18:40,R_5iIi62sNwipRuXX,,2,3,3,3,4,4,4,3,3,3,4,3,3,3,3,2,3,50,30,20,30,60,50,20,1,90,95,10,5,9,dax,1,23,no,no idea,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,3,true,do,morality,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 13:16:44,2014-01-21 13:19:48,0,,184,1,2014-01-21 13:19:48,R_5AAfE7VbTAniTUp,,2,6,6,,6,1,1,1,1,7,7,7,1,6,6,6,6,60,60,10,30,50,50,40,40,100,70,40,10,"3,4",,2,23,,,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,1,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that every person has a soulmate, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 13:16:58,2014-01-21 13:20:58,0,,240,1,2014-01-21 13:20:58,R_1SbPFfEOiwSonM9,,2,7,6,7,7,1,1,1,1,7,7,2,2,4,4,3,4,100,70,80,55,60,70,10,30,99,99,8,1,9,dax,2,38,no,moral beliefs,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,7,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 13:15:24,2014-01-21 13:22:04,0,,400,1,2014-01-21 13:22:04,R_bNLOJUuAk3xpxA1,,2,7,7,7,5,1,7,1,1,7,7,1,1,6,2,2,2,90,50,40,35,85,85,60,80,98,98,5,2,9,dax,1,24,No.,"How likely facts or figures are to change or reinforce a person's beliefs. ",3,1,2,1,There is a God.,3,there is a God,1,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that there is a God, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 13:17:23,2014-01-21 13:22:26,0,,303,1,2014-01-21 13:22:27,R_0upky1rkaQv5CrX,,2,6,5,2,5,7,2,3,3,7,7,3,3,6,5,6,6,90,75,60,65,80,40,65,60,95,95,20,20,9,dax,2,43,no,"religion, evolution, and Americans' opinions about them",3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,2,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 13:16:19,2014-01-21 13:23:30,0,,431,1,2014-01-21 13:23:31,R_4T7e8WAL54pO1sp,,2,7,6,6,6,7,5,3,5,7,7,5,2,5,3,3,3,90,75,60,50,80,40,30,60,90,90,70,10,9,dax,2,35,none,how your beliefs influence your life,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,3,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that every person has a soulmate, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 13:16:08,2014-01-21 13:23:34,0,,446,1,2014-01-21 13:23:35,R_cV1djhEgrPQZtch,,2,7,7,1,5,7,7,7,7,7,7,1,1,3,6,2,2,90,95,30,10,50,25,5,15,99,95,1,1,9,dax,2,26,,average beliefs,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,1,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 13:18:29,2014-01-21 13:25:56,0,,447,1,2014-01-21 13:25:57,R_bq48NlidbZMS4BL,,2,6,6,4,6,6,6,4,4,4,4,1,4,3,4,3,4,100,98,70,70,90,98,95,98,98,95,15,20,9,dax,1,34,No,"Religion, and personal views",3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,4,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 13:19:05,2014-01-21 13:26:24,0,,439,1,2014-01-21 13:26:24,R_0jFEhwJMtUhJmIZ,,2,7,7,7,7,7,6,4,4,7,7,4,4,7,7,6,6,100,100,75,90,80,50,10,20,95,90,70,25,9,dax,2,73,no,Beliefs about spiritual things,2,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,7,true,do,science,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to science. For example, when a person expresses a belief that humans evolved via natural selection, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to science
2014-01-21 13:20:04,2014-01-21 13:26:54,0,,410,1,2014-01-21 13:26:55,R_5z0eCEw2TrvkzRj,,2,7,7,7,7,1,1,1,1,7,7,1,1,7,7,7,7,100,95,25,40,95,95,20,20,100,100,5,2,9,dax,1,31,No problems,Beliefs,3,2,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,7,some diseases are caused by germs,7,true,do,science,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 13:23:52,2014-01-21 13:37:47,0,,835,1,2014-01-21 13:37:48,R_eIMhrBB3XoRjdRz,,2,6,6,4,3,5,4,3,3,7,7,4,2,4,4,4,4,70,75,70,60,75,60,35,65,100,100,30,40,9,dax,2,63,It was very streightforward.,Morality,2,2,2,1,There is a God.,9,there is a God,5,true,do,religion,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 13:46:59,2014-01-21 13:47:13,0,,14,1,2014-01-21 13:47:14,R_e5M6Slt5lnkfSUl,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21 13:44:50,2014-01-21 13:52:27,0,,457,1,2014-01-21 13:52:28,R_8nRCxgvzEYBah7L,,2,6,5,7,7,1,2,1,3,5,6,2,2,6,4,4,4,80,77,40,44,85,77,80,75,94,99,15,8,9,dax,1,28,no,Im not sure. I think to see if people were more aware of what part of their brain was activated if that would change their answers at all.,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,1,true,do,religion,Neutral,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with beliefs related to religion. For example, when a person expresses a belief that every person has a soulmate, there is usually activity in the posterior striatum cortex.",activity in the posterior striatum cortex is associated with beliefs related to religion
2014-01-21 13:53:17,2014-01-21 13:58:10,0,,293,1,2014-01-21 13:58:11,R_8jGZ7eUnc35HRpH,,2,7,7,7,7,1,4,2,1,7,7,1,2,3,4,3,4,90,90,50,30,60,75,40,60,80,80,20,20,9,dax,2,21,no,beliefs,3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,7,true,do,science,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
2014-01-21 13:53:21,2014-01-21 13:59:35,0,,374,1,2014-01-21 13:59:36,R_doHckecbSempHUh,,2,7,6,4,6,7,5,4,5,7,7,2,3,7,7,7,7,95,95,50,90,90,75,25,75,95,95,10,10,9,dax,2,67,no,perceptions,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 13:51:33,2014-01-21 14:02:28,0,,655,1,2014-01-21 14:02:29,R_bDYPDmtgV1y8nIx,,2,7,6,7,4,1,1,1,1,7,7,4,2,6,7,2,2,100,90,90,50,70,70,70,70,100,95,80,5,9,dax,1,27,"No, everything worked perfectly it was pretty straightforward.",An individuals view on what he thinks is morally right.,3,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,4,true,do,morality,True,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with true beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually correct (even if the person expressing it has low confidence that it is true).",activity in the posterior striatum cortex is associated with true beliefs
2014-01-21 14:00:03,2014-01-21 14:08:05,0,,482,1,2014-01-21 14:08:06,R_5cZIdGgwqPh1s2h,,2,6,3,5,4,7,6,2,6,6,7,2,2,4,4,4,4,75,60,70,60,90,75,65,80,80,80,10,10,9,dax,2,63,"No, it was all good.",how people think about common issues,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,2,true,do,religion,False,"Michael later reads in a reliable textbook that activity in the posterior striatum cortex is associated with false beliefs. When a person expresses a belief, and doing so is accompanied by activity in this brain region, the belief is usually incorrect (even if the person expressing it has high confidence that it is true).",activity in the posterior striatum cortex is associated with false beliefs
