StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,Q1,Q108_1,Q108_2,Q108_3,Q108_4,Q108_5,Q108_6,Q108_7,Q108_8,Q108_9,Q108_10,Q108_11,Q108_12,Q100,Q15,Q14,Q16,Q119,Q118,Q122,Q121,Q97,Q101_1_1,Q101_2_1,Q101_3_1,Q101_4_1,Q101_5_1,Q101_6_1,Q101_7_1,Q101_8_1,Q101_9_1,Q101_10_1,Q101_11_1,Q101_12_1,Q13,Q13_9_TEXT,Q19,Q20,Q81,Q82,Q102,Q103,Q106,AcceptReject,SciRelMor,CommonRare,Claim,ClaimSet,Whether,TargetRating,Believe,True,Wrong,Explanation,ExplanationType,NormalAbnormal
2014-03-06 12:34:57,2014-03-06 12:39:20,0,,263,1,2014-03-06 12:39:21,R_cGFy8sAk708Vd2d,,2,3,5,7,2,1,1,3,2,6,3,1,1,,,,,4,4,5,5,5,80,30,40,30,60,10,70,40,90,90,10,20,9,dax,4,2,1,21,Survey was laggy.,Evolution beliefs.,3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,7,reject,false,true,"People are more likely to reject this claim if they did not suffer from an attachment disorder as a child – that is, if their parental attachment was normal.",Developmental,Normal
2014-03-06 12:33:39,2014-03-06 12:39:55,0,,376,1,2014-03-06 12:39:56,R_agD0cUPDEF4tqNT,,2,7,6,7,6,1,1,1,1,7,7,1,1,4,2,4,4,,,,,6,95,95,30,40,45,45,30,35,99,90,10,8,9,dax,"4,5",1,1,27,No,I'm not sure.,3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,1,believe,true,false,"People are more likely to believe this claim if they exhibit “cognitive biases in lexical processing” when reasoning, which is a type of processing that’s abnormal in these cases.",Psychological,Abnormal
2014-03-06 12:53:23,2014-03-06 12:59:37,0,,374,1,2014-03-06 12:59:38,R_08l9NvZdnERtRYN,,2,6,6,5,6,2,2,2,2,7,7,3,3,3,4,4,4,,,,,2,85,70,50,60,70,70,50,60,90,85,25,30,9,dax,"4,5",1,1,28,,,2,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,3,reject,false,true,People are more likely to reject this claim if they frequently have “mini-seizures” in the ventral striatum cortex in the brain: this involves an abnormal pattern of activity.,Neuro,Abnormal
2014-03-06 13:50:28,2014-03-06 13:56:09,0,,341,1,2014-03-06 13:56:10,R_1Ly8O97vYNA1rOl,,2,7,7,6,5,7,7,1,7,7,7,7,7,,,,,4,4,4,4,1,80,80,75,85,60,80,20,45,100,100,50,50,9,dax,"4,5",1,1,30,No problems,This survey is a psychological survey I think,3,1,2,1,There is a God.,3,there is a God,7,believe,true,false,"People are more likely to believe this claim if they suffered from an attachment disorder as a child – that is, if their parental attachment was abnormal.",Developmental,Abnormal
2014-03-06 16:14:29,2014-03-06 16:20:01,0,,332,1,2014-03-06 16:20:02,R_56f3wyfmeTRRZgp,,2,6,6,7,6,1,1,1,1,7,7,2,2,4,4,6,4,,,,,1,90,90,60,50,70,50,40,60,95,95,40,20,9,dax,"4,5",1,2,23,no,projecting one's beliefs onto others,3,2,2,1,There is a God.,9,there is a God,1,reject,false,true,"People are more likely to reject this claim if they do not have a mutated acfga2 gene – in other words, if their acfga2 gene is normal.",Genetic,Normal
2014-03-06 16:27:50,2014-03-06 16:37:24,0,,574,1,2014-03-06 16:37:24,R_9ZeRJQkp3U0Iskd,,2,7,6,7,5,1,3,1,1,5,6,2,1,,,,,7,1,7,7,4,83,83,64,47,81,25,78,25,79,81,22,20,9,dax,"4,5",2,2,62,n,MORAL DILEMMAS,2,2,3,1,Killing an innocent person is morally wrong.,11,killing an innocent person is wrong,5,reject,false,true,"People are more likely to reject this claim if they have a mutated acfga2 gene – in other words, if their acfga2 gene is abnormal.",Genetic,Abnormal
2014-03-06 17:09:32,2014-03-06 17:09:43,0,,11,1,2014-03-06 17:09:43,R_0Ban7eG7z1y95Wt,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06 17:46:52,2014-03-06 18:01:21,0,,869,1,2014-03-06 18:01:22,R_3ORElMm1Pcm4Cj3,,2,6,7,7,5,2,4,1,1,7,7,4,3,,,,,4,5,4,4,1,95,95,70,50,70,80,80,80,90,90,20,10,9,dax,"4,5",1,1,25,No it was pretty straightforward. i believe i have taken a similar survey regarding religious beliefs but this one was structured much better. Hope i was able to help! :),"Mainly peoples religious beliefs but i noticed some political type belief based questions aswell like the temperature rising on earth where most liberals say yes of course, most conservatives say no.",2,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,believe,true,false,"People are more likely to believe this claim if they engage in “Type M lexical processing” when reasoning, which is the type of processing normally engaged in these cases.",Psychological,Normal
2014-03-06 19:14:38,2014-03-06 19:14:47,0,,9,1,2014-03-06 19:14:47,R_9Rk5U6nL76zhqDP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06 19:17:05,2014-03-06 19:22:57,0,,352,1,2014-03-06 19:22:57,R_0JqGnxu8DbbUqep,,2,7,5,6,6,4,4,1,1,7,7,1,1,,,,,2,2,1,1,5,98,25,40,50,60,60,30,35,99,99,1,1,9,dax,"4,5",1,1,25,,Personal views,2,2,3,2,Killing animals for human consumption is morally wrong.,12,killing animals for human consumption is wrong,1,reject,false,true,"People are more likely to reject this claim if they did not suffer from an attachment disorder as a child – that is, if their parental attachment was normal.",Developmental,Normal
2014-03-06 19:17:19,2014-03-06 19:23:31,0,,372,1,2014-03-06 19:23:31,R_571cKYMSzirXoPz,,2,6,6,6,6,3,3,2,2,7,7,6,5,3,2,4,2,,,,,5,95,90,25,45,75,50,25,70,80,60,14,3,9,dax,"4,5",1,1,20,"The sentence about the mutated gene, it is biased in the sense that it would consider that ""abnormal"". It should be written from a perspective that doesn't cause people to think that not believing in God is a mutation. ","I have no clue. ",3,2,2,1,There is a God.,9,there is a God,3,reject,false,true,"People are more likely to reject this claim if they have a mutated acfga2 gene – in other words, if their acfga2 gene is abnormal.",Genetic,Abnormal
2014-03-06 19:16:56,2014-03-06 19:23:31,0,,395,1,2014-03-06 19:23:32,R_bQUk9iQRLSsErQN,,2,7,7,1,6,7,7,7,7,7,7,3,1,4,4,4,4,,,,,2,99,60,40,60,60,60,60,60,99,99,25,25,9,dax,"4,5",2,2,37,None,I think this survey was trying to figure out if scientific evidence affects moral decisions.,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,believe,true,false,"People are more likely to believe this claim if they do not have a mutated acfga2 gene – in other words, if their acfga2 gene is normal.",Genetic,Normal
2014-03-06 19:20:32,2014-03-06 19:25:45,0,,313,1,2014-03-06 19:25:46,R_bypoDL6GvglhLZH,,2,7,7,7,7,2,1,2,1,7,7,6,4,,,,,2,2,1,1,3,100,100,65,55,65,70,65,50,90,90,20,10,9,dax,"4,5",1,2,24,,,3,1,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,4,every person has a soulmate,2,believe,true,false,"People are more likely to believe this claim if they suffered from an attachment disorder as a child – that is, if their parental attachment was abnormal.",Developmental,Abnormal
2014-03-06 19:22:27,2014-03-06 19:31:28,0,,541,1,2014-03-06 19:31:29,R_5AaJVJjc7wiMmHj,,2,7,6,7,6,1,1,1,1,7,7,2,2,,,,,5,6,6,6,4,90,80,60,70,90,60,70,80,100,100,10,5,9,dax,"4,5",1,2,39,No,"People's belief systems and how they impact how they think. Also, how closely people read and remember what they've read.",3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,7,believe,true,false,"People are more likely to believe this claim if they engage in “Type M lexical processing” when reasoning, which is the type of processing normally engaged in these cases.",Psychological,Normal
2014-03-06 19:27:28,2014-03-06 19:32:06,0,,278,1,2014-03-06 19:32:06,R_egNEWdUu7vh4Uap,,2,6,6,5,5,5,7,6,5,7,6,3,4,,,,,2,5,2,4,5,80,80,60,80,60,70,70,65,90,90,30,40,9,dax,4,2,2,40,Nope,Personal beliefs about God and the nature of our universe.,3,1,2,1,There is a God.,3,there is a God,5,believe,true,false,"People are more likely to believe this claim if they have ""Type M neural activity"" in the ventral striatum cortex in their brain, which is the type of activity normally observed there.",Neuro,Normal
2014-03-06 19:38:19,2014-03-06 19:38:40,0,,21,1,2014-03-06 19:38:41,R_3eDvHtxjCxMW1xz,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06 19:30:10,2014-03-06 19:38:58,0,,528,1,2014-03-06 19:38:58,R_9tnTcWu00HDgQ7z,,2,7,7,7,4,7,4,1,1,7,7,4,4,2,3,4,2,,,,,1,60,75,55,40,90,40,30,40,99,99,10,10,9,dax,"4,5",2,1,56,Everything clearly presented.,"In part, how outside ""expert"" sources may affect one's beliefs.",3,1,3,2,Killing animals for human consumption is morally wrong.,6,killing animals for human consumption is wrong,4,believe,true,false,"People are more likely to believe this claim if they suffered from an attachment disorder as a child – that is, if their parental attachment was abnormal.",Developmental,Abnormal
2014-03-06 19:39:07,2014-03-06 19:46:03,0,,416,1,2014-03-06 19:46:03,R_4VlOZ9BLI1F6lJX,,2,6,6,4,6,7,6,3,4,7,7,2,3,,,,,4,4,6,6,2,95,95,55,65,80,80,10,55,75,100,20,24,9,dax,"4,5",1,2,57,no,no,3,1,1,1,Some diseases are caused by microorganisms called ‘germs’ that can infect a host organism.,1,some diseases are caused by germs,6,believe,true,false,"People are more likely to believe this claim if they did not suffer from an attachment disorder as a child – that is, if their parental attachment was normal.",Developmental,Normal
2014-03-06 19:40:52,2014-03-06 19:48:02,0,,430,1,2014-03-06 19:48:03,R_b4rn3cZiR0aXxjf,,2,6,6,4,5,4,4,4,5,7,7,1,1,4,4,4,4,,,,,2,95,95,50,50,50,45,65,65,100,100,15,10,9,dax,"4,5",1,2,28,Nope!,Whether certain facts or arguements can sway someone's beliefs?,3,2,2,2,Every person has a soulmate or life partner who has been preselected for him or her by God or some other spiritual force in the universe.,10,every person has a soulmate,4,reject,false,true,"People are more likely to reject this claim if they exhibit “cognitive biases in lexical processing” when reasoning, which is a type of processing that’s abnormal in these cases.",Psychological,Abnormal
2014-03-06 19:48:37,2014-03-06 19:51:47,0,,190,1,2014-03-06 19:51:47,R_88Pk9Npm8FAS6fb,,2,7,7,7,7,1,1,1,1,7,7,4,3,,,,,4,6,5,5,6,100,90,75,80,80,85,60,65,100,90,25,5,9,dax,"4,5",2,1,28,,,3,1,3,1,Killing an innocent person is morally wrong.,5,killing an innocent person is wrong,7,believe,true,false,"People are more likely to believe this claim if they have ""Type M neural activity"" in the ventral striatum cortex in their brain, which is the type of activity normally observed there.",Neuro,Normal
2014-03-06 19:52:23,2014-03-06 19:58:26,0,,363,1,2014-03-06 19:58:27,R_6olSYrkFe9EOE7j,,2,6,4,6,6,1,1,1,1,1,1,2,4,6,6,4,4,,,,,3,60,60,60,40,60,70,60,80,80,30,25,15,9,dax,"4,5",1,1,27,,,1,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,6,reject,false,true,"People are more likely to reject this claim if they have a mutated acfga2 gene – in other words, if their acfga2 gene is abnormal.",Genetic,Abnormal
2014-03-06 19:44:47,2014-03-06 19:59:41,0,,894,1,2014-03-06 19:59:42,R_0JqShdXO1U939dP,,2,6,6,6,4,6,6,4,6,6,6,2,2,4,4,6,6,,,,,3,95,80,60,10,80,80,40,40,98,98,2,2,9,dax,"4,5",1,1,53,no,Personal Beliefs,3,2,1,2,Humans evolved via natural selection and share common ancestry with many other species.,8,humans evolved via natural selection,6,reject,false,true,People are more likely to reject this claim if they frequently have “mini-seizures” in the ventral striatum cortex in the brain: this involves an abnormal pattern of activity.,Neuro,Abnormal
2014-03-06 19:55:02,2014-03-06 20:00:22,0,,320,1,2014-03-06 20:00:22,R_5tkk3CAAFVIiEu1,,2,6,7,2,2,7,7,5,7,7,7,1,1,,,,,7,7,4,4,2,100,100,50,50,90,90,70,70,100,100,5,5,9,dax,"4,5",1,1,35,No,Not a clue,3,1,1,2,Humans evolved via natural selection and share common ancestry with many other species.,2,humans evolved via natural selection,2,believe,true,false,"People are more likely to believe this claim if they do not have a mutated acfga2 gene – in other words, if their acfga2 gene is normal.",Genetic,Normal
